CENSUS REGION,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Midwest      ,MOOD       ,50-59,M  ,     14183
Midwest      ,MOOD       ,60-64,F  ,     11452
Midwest      ,MOOD       ,60-64,M  ,      3639
Midwest      ,MUSCUL     , <12 ,F  ,       550
Midwest      ,MUSCUL     , <12 ,M  ,       532
Midwest      ,MUSCUL     ,13-17,F  ,       327
Midwest      ,MUSCUL     ,13-17,M  ,       249
Midwest      ,MUSCUL     ,18-21,F  ,       428
Midwest      ,MUSCUL     ,18-21,M  ,       349
Midwest      ,MUSCUL     ,22-25,F  ,       610
Midwest      ,MUSCUL     ,22-25,M  ,       402
Midwest      ,MUSCUL     ,26-29,F  ,       813
Midwest      ,MUSCUL     ,26-29,M  ,       491
Midwest      ,MUSCUL     ,30-39,F  ,      4019
Midwest      ,MUSCUL     ,30-39,M  ,      2121
Midwest      ,MUSCUL     ,40-49,F  ,     12231
Midwest      ,MUSCUL     ,40-49,M  ,      6624
Midwest      ,MUSCUL     ,50-59,F  ,     28096
Midwest      ,MUSCUL     ,50-59,M  ,     18697
Midwest      ,MUSCUL     ,60-64,F  ,     13144
Midwest      ,MUSCUL     ,60-64,M  ,      7044
Midwest      ,NEOPLA     , <12 ,F  ,       938
Midwest      ,NEOPLA     , <12 ,M  ,      1196
Midwest      ,NEOPLA     ,13-17,F  ,       286
Midwest      ,NEOPLA     ,13-17,M  ,       373
Midwest      ,NEOPLA     ,18-21,F  ,       221
Midwest      ,NEOPLA     ,18-21,M  ,       296
Midwest      ,NEOPLA     ,22-25,F  ,       210
Midwest      ,NEOPLA     ,22-25,M  ,       252
Midwest      ,NEOPLA     ,26-29,F  ,       182
Midwest      ,NEOPLA     ,26-29,M  ,       219
Midwest      ,NEOPLA     ,30-39,F  ,       559
Midwest      ,NEOPLA     ,30-39,M  ,       393
Midwest      ,NEOPLA     ,40-49,F  ,      1493
Midwest      ,NEOPLA     ,40-49,M  ,       827
Midwest      ,NEOPLA     ,50-59,F  ,      2533
Midwest      ,NEOPLA     ,50-59,M  ,      2108
Midwest      ,NEOPLA     ,60-64,F  ,       892
Midwest      ,NEOPLA     ,60-64,M  ,       656
Midwest      ,NERVOUS    , <12 ,F  ,      5918
Midwest      ,NERVOUS    , <12 ,M  ,      7467
Midwest      ,NERVOUS    ,13-17,F  ,      2503
Midwest      ,NERVOUS    ,13-17,M  ,      3428
Midwest      ,NERVOUS    ,18-21,F  ,      3944
Midwest      ,NERVOUS    ,18-21,M  ,      4890
Midwest      ,NERVOUS    ,22-25,F  ,      3749
Midwest      ,NERVOUS    ,22-25,M  ,      4487
Midwest      ,NERVOUS    ,26-29,F  ,      3386
Midwest      ,NERVOUS    ,26-29,M  ,      3625
Midwest      ,NERVOUS    ,30-39,F  ,      6790
Midwest      ,NERVOUS    ,30-39,M  ,      6174
Midwest      ,NERVOUS    ,40-49,F  ,      7898
Midwest      ,NERVOUS    ,40-49,M  ,      5912
Midwest      ,NERVOUS    ,50-59,F  ,      8812
Midwest      ,NERVOUS    ,50-59,M  ,      6273
Midwest      ,NERVOUS    ,60-64,F  ,      3127
